,identifier,title,creator,date_created,date_issued,depositor,box,folder,type_of_resource,genre
143,31735060482035,A Call for a Petition Campaign and Youth March,,,,University of Pittsburgh,13,16,text,archival document
144,31735061658393,"""Democracy in Danger"", By Mary Collins,",,1938-09,,University of Pittsburgh,3,108,text,archival document
145,31735058194022,"Student Peace Union Bulletin,",,1962-01,,University of Pittsburgh,12,19,text,archival document
146,31735065150892,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1954-08-30,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
147,31735065151205,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1955-01-17,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
148,31735061656744,"Grand March Festival Given By The Socialists of St. Paul, Minn. at Germania Turner Hall,",,1894,,University of Pittsburgh,10,44,text,archival document
149,31735061544262,"Army Education Center Postcard,",,1963-12,,University of Pittsburgh,11,144,text,archival document
150,31735061659904,"""Religion and Communism"", By Earl Browder,",,1935-06,,University of Pittsburgh,3,19,text,archival document
151,31735061544551,"""Policy Statement"" from Washington D.C. Protest",,,,University of Pittsburgh,11,154,text,archival document
152,31735061543801,A Socialist Party of America Membership Card,,,,University of Pittsburgh,10,95,text,archival document
153,31735061538546,"3 Worker's World Party Pamphlets Stating ""People's Needs, Yes! Profits and War, No!""",,,,University of Pittsburgh,11,122,text,archival document
154,31735067911499,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,,1953-07-13,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals
155,31735047451046,"""Let's Look at the Record! Your Paid Holidays, Vacations and Overtime""",,,,University of Pittsburgh,,107,text,archival document
156,31735066228721,"""Karl Marx, The Man and His Work and the Constructive Elements of Socialism"", Three Lectures and Two Essays By Karl Dannenberg,",,1918,,University of Pittsburgh,10,42,text,archival document
157,31735061658831,"""The Big Tax Swindle and How to Stop It"", An Analysis and Program for Action,",,1969-05,,University of Pittsburgh,4,28,text,archival document
158,31735065150157,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1960-10,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
159,31735068354822,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,,1952-07-14,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals
160,31735065150330,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1954-01-18,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
161,31735068354962,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1962-10,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
162,31735058194436,"""A Public Forum for the Discussion of the Socialist Workers Party Program"" Leaflet,",,1960-10-15,,University of Pittsburgh,11,89,text,archival document
163,31735058193966,"""The Pacifist Ethic and Humanism"" Pamphlet,",,1961,,University of Pittsburgh,8,5,text,archival document
164,31735060482647,"Flyer advertising a demonstration referred to as the ""Mass Funeral""",,,,University of Pittsburgh,13,1,text,archival document
165,31735065150017,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1960-01,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
166,31735061658971,"YCL Pacesetter,",,1939-08,,University of Pittsburgh,3,136,text,archival document
167,31735061538660,"Union-Smashing in Sacramento, The Truth About the Criminal Syndicalism Trial, By Herbert Solow,",,1935-08,,University of Pittsburgh,11,93,text,archival document
168,31735061544676,"""Adopt Arnoni's Vietnam Proposal!"" Propaganda Sheet,",,1965,,University of Pittsburgh,11,151,text,archival document
169,31735066229067,"The Two Souls Of Socialism, by Hal Draper,",,1966,,University of Pittsburgh,14,33,text,archival document
170,31735060483041,"Jim Crow ""Justice"" In Korea, The Case of Lieutenant Leon Gilbert",,,,University of Pittsburgh,1,5,text,archival document
171,31735061544411,"""The ABC of Socialism"", By Fred Henderson",,,,University of Pittsburgh,10,116,text,archival document
172,31735059397632,"""To Secure Justice in the Rosenberg Case"" Pamphlet,",,1951,,University of Pittsburgh,2,115,text,archival document
173,31735061656462,$222 Billion Dollars,,,,University of Pittsburgh,1,159,text,archival document
174,31735070075175,"Political action; Political action (Milwaukee, Wis.)",,,1912-05-18,University of Pittsburgh,,,text; text,newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers; newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers
175,31735058194162,"The Monroe Kidnapping Newsletter,",,1961-11,,University of Pittsburgh,1,116,text,archival document
176,196504.1.2.002,"Atlantic City Convention June 20 to 27, 1928",,1928,,University of Pittsburgh,,2,text,archival document
177,196504.1.2.003,Atlantic City Convention June 9-16-1926,,1926,,University of Pittsburgh,,2,text,archival document
178,31735051655466,"""The Way We See It"" Pamphlet,",,1970-08-26,,University of Pittsburgh,14,10,text,archival document
179,31735070075381,"Political action; Political action (Milwaukee, Wis.)",,,1912-10-12,University of Pittsburgh,,,text; text,newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers; newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers
